SampleID	ttv_ct	ttv_copy	ttv_presence	rv_ct	rv_copy	rv_presence	small_circular_virus
CORE0187.V1.nonCOVID.NP.PS	27.58120918	38798.93241	Positive	50	0	Negative	38798.93241
CORE0187.V2.nonCOVID.NP.PS	29.15480614	31006.94037	Positive	50	0	Negative	31006.94037
CORE0263.V6.COVID.NP.PRO	24.64973068	27858.68952	Positive	50	0	Negative	27858.68952
CORE0187.V2.nonCOVID.OP.PS	30.05544345	12118.84686	Positive	50	0	Negative	12118.84686
CORE0181.V3.nonCOVID.ETA.PRO	30.69320869	7259.205127	Positive	50	0	Negative	7259.205127
CORE0275.V2.COVID.OP.PRO	27.07812627	6475.126814	Positive	50	0	Negative	6475.126814
CORE0275.V4.COVID.OP.PRO	26.93263817	6056.070426	Positive	50	0	Negative	6056.070426
CORE0263.V5.COVID.ETA.PRO	29.41250038	5726.687	Positive	50	0	Negative	5726.687
CORE0187.V2.nonCOVID.ETA.PRO	31.79879697	4937.957814	Positive	50	0	Negative	4937.957814
CORE0275.V3.COVID.OP.PRO	27.36677361	4421.530503	Positive	50	0	Negative	4421.530503
CORE0263.V5.COVID.NP.PRO	27.58805021	3795.938492	Positive	50	0	Negative	3795.938492
CORE0255.V6.COVID.OP.PRO	28.79712741	2434.560545	Positive	50	0	Negative	2434.560545
CORE0181.V4.nonCOVID.OP.PS	29.91299629	2364.552318	Positive	50	0	Negative	2364.552318
CORE0180.V2.nonCOVID.ETA.PRO	30.24927044	2188.204259	Positive	50	0	Negative	2188.204259
CORE0206.V3.COVID.ETA.PRO	30.02832413	2139.955688	Positive	50	0	Negative	2139.955688
CORE0275.V3.COVID.NP.PRO	28.85164642	1860.691822	Positive	50	0	Negative	1860.691822
CORE0181.V3.nonCOVID.OP.PS	30.32191181	1719.429823	Positive	50	0	Negative	1719.429823
CORE0255.V6.COVID.ETA.PRO	30.3742733	1302.367	Positive	50	0	Negative	1302.367
CORE0206.V1.COVID.NP.PRO	29.58557638	1172.667891	Positive	50	0	Negative	1172.667891
CORE0206.V1.COVID.ETA.PRO	31.31845029	1065.522644	Positive	50	0	Negative	1065.522644
CORE0180.V1.nonCOVID.NP.PS	31.08769321	1018.096486	Positive	50	0	Negative	1018.096486
CORE0185.V4.nonCOVID.NP.PS	30.60750008	1000	Positive	50	0	Negative	1000
CORE0288.V3.COVID.ETA.PRO	30.96118164	1000	Positive	50	0	Negative	1000
CORE0181.V1.nonCOVID.OP.PS	31.98509502	655.2206453	Positive	50	0	Negative	655.2206453
CORE0237.V3.COVID.NP.PRO	31.4683183	635.7533217	Positive	50	0	Negative	635.7533217
CORE0263.V1.COVID.NP.PRO	30.39976056	604.8591995	Positive	50	0	Negative	604.8591995
CORE0263.V5.COVID.OP.PRO	31.09645398	374.8508068	Positive	50	0	Negative	374.8508068
CORE0210.V1.COVID.ETA.PRO	30.56324005	332.6386108	Positive	50	0	Negative	332.6386108
CORE0255.V3.COVID.ETA.PRO	32.57891846	262.929	Positive	50	0	Negative	262.929
CORE0204.V1.COVID.NP.PRO	33.03251648	256.777	Positive	50	0	Negative	256.777
CORE0263.V2.COVID.OP.PRO	31.82056554	228.9634192	Positive	50	0	Negative	228.9634192
CORE0252.V6.COVID.OP.PRO	35.05678622	227.7935086	Positive	50	0	Negative	227.7935086
CORE0181.V2.nonCOVID.ETA.PRO	33.60037804	222.8435585	Positive	50	0	Negative	222.8435585
CORE0206.V1.COVID.OP.PRO	31.91152382	219.4428009	Positive	50	0	Negative	219.4428009
CORE0237.V1.COVID.NP.PRO	33.86125692	215.1060396	Positive	50	0	Negative	215.1060396
CORE0251.V3.COVID.OP.PRO	33.66664569	201.807329	Positive	50	0	Negative	201.807329
CORE0218.V2.COVID.ETA.PRO	32.51799711	178.665	Positive	50	0	Negative	178.665
CORE0206.V2.COVID.OP.PRO	32.30992381	159.7716081	Positive	50	0	Negative	159.7716081
CORE0263.V3.COVID.OP.PRO	32.43441137	149.5595595	Positive	50	0	Negative	149.5595595
CORE0251.V4.COVID.OP.PRO	33.47891235	99.56077373	Positive	50	0	Negative	99.56077373
CORE0180.V1.nonCOVID.OP.PS	34.69527054	94.26752914	Positive	50	0	Negative	94.26752914
CORE0275.V4.COVID.NP.PRO	33.50373713	80.64315659	Positive	50	0	Negative	80.64315659
CORE0225.V2.COVID.OP.PRO	34.77864456	77.97517014	Positive	50	0	Negative	77.97517014
CORE0251.V2.COVID.NP.PRO	33.91192881	64.24984082	Positive	50	0	Negative	64.24984082
CORE0239.V1.COVID.OP.PRO	34.87983068	59.11471066	Positive	50	0	Negative	59.11471066
CORE0263.V3.COVID.NP.PRO	34.72804515	37.42050178	Positive	50	0	Negative	37.42050178
CORE0252.V5.COVID.ETA.PRO	36.15178299	34.421	Positive	50	0	Negative	34.421
CORE0275.V2.COVID.NP.PRO	35.04739761	27.75885747	Positive	50	0	Negative	27.75885747
CORE0263.V1.COVID.OP.PRO	35.48049164	23.00827666	Positive	50	0	Negative	23.00827666
CORE0252.V4.COVID.NP.PRO	35.52054342	21.86799259	Positive	50	0	Negative	21.86799259
CORE0255.V5.COVID.OP.PRO	35.61569595	21.76948166	Positive	50	0	Negative	21.76948166
CORE0263.V4.COVID.OP.PRO	35.48067729	21.0972061	Positive	50	0	Negative	21.0972061
CORE0207.V2.COVID.NP.PRO	34.94377899	20.852	Positive	50	0	Negative	20.852
CORE0261.V1.COVID.ETA.PRO	36.38734627	19.727	Positive	50	0	Negative	19.727
CORE0207.V2.COVID.OP.PRO	35.11509323	16.478	Positive	50	0	Negative	16.478
CORE0184.V1.nonCOVID.OP.PS	38.14196396	12.185	Positive	50	0	Negative	12.185
CORE0180.V2.nonCOVID.OP.PS	38.25907898	12.05943691	Positive	50	0	Negative	12.05943691
CORE0181.V2.nonCOVID.OP.PS	38.04965401	10.12677384	Positive	50	0	Negative	10.12677384
CORE0216.V1.COVID.OP.PRO	35.97783852	10.072	Positive	50	0	Negative	10.072
CORE0252.V3.COVID.OP.PRO	36.8374939	9.869452477	Positive	50	0	Negative	9.869452477
CORE0269.V4.COVID.NP.PRO	36.69234848	9.565162659	Positive	50	0	Negative	9.565162659
CORE0212.V4.COVID.ETA.PRO	37.61727524	8.429	Positive	50	0	Negative	8.429
CORE0223.V1.COVID.OP.PRO	37.41020203	7.991751194	Positive	50	0	Negative	7.991751194
CORE0181.V3.nonCOVID.NP.PS	38.01374435	7.747714043	Positive	50	0	Negative	7.747714043
CORE0263.V1.COVID.ETA.PRO	36.72153727	7.7	Positive	50	0	Negative	7.7
CORE0252.V6.COVID.NP.PRO	37.25024414	7.503951073	Positive	50	0	Negative	7.503951073
CORE0212.V1.COVID.OP.PRO	36.53817749	6.889	Positive	50	0	Negative	6.889
CORE0255.V4.COVID.OP.PRO	37.38393021	6.795	Positive	50	0	Negative	6.795
CORE0255.V5.COVID.ETA.PRO	36.75959015	6.777	Positive	50	0	Negative	6.777
CORE0222.V1.COVID.OP.PRO	37.72810364	6.219816147	Positive	50	0	Negative	6.219816147
CORE0237.V2.COVID.NP.PRO	37.83757019	6.038749695	Positive	50	0	Negative	6.038749695
CORE0245.V1.COVID.NP.PRO	37.62509155	5.792	Positive	50	0	Negative	5.792
CORE0251.V2.COVID.ETA.PRO	37.07096227	5.685	Positive	50	0	Negative	5.685
CORE0252.V5.COVID.OP.PRO	37.65855789	5.665	Positive	50	0	Negative	5.665
CORE0205.V1.COVID.NP.PRO	36.84800339	5.649	Positive	50	0	Negative	5.649
CORE0213.V3.COVID.OP.PRO	36.78461075	5.147	Positive	50	0	Negative	5.147
CORE0251.V1.COVID.NP.PRO	37.29006577	4.941350937	Positive	50	0	Negative	4.941350937
CORE0242.V4.COVID.NP.PRO	37.90576935	4.809	Positive	50	0	Negative	4.809
CORE0201.V1.COVID.NP.PRO	37.35193253	4.6755	Positive	50	0	Negative	4.6755
CORE0225.V5.COVID.NP.PRO	37.38463593	4.158	Positive	50	0	Negative	4.158
CORE0226.V1.COVID.OP.PRO	38.48120117	3.959773779	Positive	50	0	Negative	3.959773779
CORE0252.V2.COVID.ETA.PRO	38.09830348	3.682	Positive	50	0	Negative	3.682
CORE0252.V3.COVID.ETA.PRO	38.00390625	2.754	Positive	50	0	Negative	2.754
CORE0276.V1.COVID.OP.PRO	38.5529213	2.741428494	Positive	50	0	Negative	2.741428494
CORE0181.V2.nonCOVID.NP.PS	39.71445084	2.445384264	Positive	50	0	Negative	2.445384264
CORE0230.V2.COVID.NP.PRO	38.85615349	2.226162068	Positive	50	0	Negative	2.226162068
CORE0263.V6.COVID.OP.PRO	39.3656044	1.992993474	Positive	50	0	Negative	1.992993474
CORE0225.V1.COVID.ETA.PRO	38.3864212	1.777	Positive	50	0	Negative	1.777
CORE0218.V1.COVID.OP.PRO	38.34646606	1.733	Positive	50	0	Negative	1.733
CORE0262.V2.COVID.OP.PRO	38.97470093	1.563	Positive	50	0	Negative	1.563
CORE0255.V4.COVID.NP.PRO	39.67790604	1.497451901	Positive	50	0	Negative	1.497451901
CORE0206.V3.COVID.OP.PRO	38.70135498	1.441	Positive	50	0	Negative	1.441
CORE0228.V1.COVID.OP.PRO	38.93333054	1.417	Positive	50	0	Negative	1.417
CORE0252.V3.COVID.NP.PRO	39.52157974	1.033163786	Positive	50	0	Negative	1.033163786
CORE0225.V6.COVID.OP.PRO	39.6403923	0.867	Positive	50	0	Negative	0.867
CORE0179.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0179.V1.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0179.V2.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0179.V2.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0180.V3.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0180.V3.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0180.V2.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0181.V4.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0181.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0182.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0182.V1.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0184.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0185.V4.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0185.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0185.V2.nonCOVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0185.V1.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0185.V2.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0185.V2.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0185.V3.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0185.V3.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0187.V3.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0188.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0188.V1.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0188.V2.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0188.V2.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0188.V3.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0188.V3.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0188.V4.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0188.V4.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0189.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0189.V4.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0189.V1.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0189.V2.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0189.V2.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0189.V3.nonCOVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0189.V4.nonCOVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0189.V3.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0189.V3.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0189.V4.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0190.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0190.V1.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0190.V2.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0190.V2.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0294.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0294.V1.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0294.V1.nonCOVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0294.V1.nonCOVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0295.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0295.V1.nonCOVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0295.V1.nonCOVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0296.V1.nonCOVID.NP.PS	50	0	Negative	50	0	Negative	0
CORE0296.V1.nonCOVID.OP.PS	50	0	Negative	50	0	Negative	0
CORE0296.V1.nonCOVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0296.V1.nonCOVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0193.V5.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0193.V5.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V5.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V2.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V3.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V6.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V7.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V4.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V7.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V4.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V5.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0196.V5.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0197.V2.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0197.V6.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0197.V5.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0197.V5.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0197.V6.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0197.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0197.V6.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0197.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0197.V4.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0200.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0200.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0201.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0202.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0202.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0203.V1.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0203.V3.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0203.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0203.V4.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0203.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0203.V5.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0203.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0203.V5.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0204.V3.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0204.V2.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0204.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0204.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0204.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0204.V4.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0204.V4.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0204.V5.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0204.V5.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0205.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0205.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0205.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0205.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0206.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0206.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0207.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0207.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0207.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0207.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0208.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0208.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0208.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0208.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0209.V2.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0209.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0209.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0209.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0209.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0209.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0209.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V3.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V5.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V5.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V5.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V4.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0210.V4.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0211.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0211.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V5.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V6.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V5.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V6.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V6.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V4.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V4.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0212.V5.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0213.V3.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0213.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0213.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0213.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0213.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0213.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0215.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0215.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0216.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0216.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0216.V4.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V1.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V4.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V5.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V5.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0218.V4.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0219.V2.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0219.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0219.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0219.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0219.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0219.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0219.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0220.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0220.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0221.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0221.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0222.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0222.V4.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0222.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0222.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0222.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0222.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0222.V4.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0223.V2.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0224.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V4.COVID.ETA.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V3.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V3.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V4.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V4.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V1.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V5.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0225.V6.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0226.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0227.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0227.V2.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0228.V1.COVID.NP.PRO	50	0	Negative	50	0	Negative	0
CORE0228.V4.COVID.OP.PRO	50	0	Negative	50	0	Negative	0
